Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Population,Incident_Rate,Case_Fatality_Ratio
,Estonia,58.5953,25.0136,106424,902,81859.0,23663.0,1326539.0,8022.68157965955,0.8475531834924454
,Eswatini,-26.5225,31.4659,17337,667,16528.0,142.0,1160164.0,1494.357694257019,3.8472630789640654
,Ethiopia,9.145,40.4897,206589,2865,158109.0,45615.0,114963583.0,179.69951406264016,1.3868114952877453
,Fiji,-17.7134,178.065,67,2,64.0,1.0,896444.0,7.473974949913213,2.9850746268656714
,Finland,61.92411,25.748151,77452,844,46000.0,30608.0,5540718.0,1397.869373608258,1.0897071734751846
,France,46.2276,2.2137,4611392,95052,264511.0,4251829.0,65249843.0,7067.284437757192,2.0612431127087003
,Gabon,-0.8037,11.6094,19550,118,16609.0,2823.0,2225728.0,878.3642924921644,0.6035805626598466
,Gambia,13.4432,-15.3101,5459,165,5070.0,224.0,2416664.0,225.88990443023937,3.0225315991939916
,Georgia,42.3154,43.3569,281761,3778,273167.0,4816.0,3989175.0,7063.139621600957,1.3408527085011765
,Ghana,7.9465,-1.0232,90583,743,88065.0,1775.0,31072945.000000004,291.51726686994095,0.8202422088029763
,Greece,39.0742,21.8243,263689,8093,93764.0,161832.0,10423055.999999998,2529.8626429715055,3.069145849845841
,Grenada,12.1165,-61.679,155,1,152.0,2.0,112519.0,137.7545125712102,0.6451612903225806
,Guatemala,15.7835,-90.2308,193834,6840,177235.0,9759.0,17915567.0,1081.9305914236484,3.5287926782710977
,Guinea,9.9456,-9.6966,19908,125,16619.0,3164.0,13132792.0,151.59000462354084,0.6278882861161342
,Guinea-Bissau,11.8037,-15.1804,3650,63,2972.0,615.0,1967997.9999999998,185.46766815819936,1.7260273972602742
,Guyana,4.860416000000002,-58.93018000000001,10249,231,9098.0,920.0,786559.0,1303.0173197433378,2.2538784271636256
,Haiti,18.9712,-72.2852,12758,252,11043.0,1463.0,11402533.0,111.88742010218256,1.9752312274651198
,Holy See,41.9029,12.4534,27,0,15.0,12.0,809.0,3337.453646477132,0.0
,Honduras,15.2,-86.2419,189043,4605,72732.0,111706.0,9904607.999999998,1908.636868819039,2.435953724813931
,Hungary,47.1625,19.5033,652433,20737,406935.0,224761.0,9660350.0,6753.720103308887,3.178410656726438
,Iceland,64.9631,-19.0208,6205,29,6058.0,118.0,341249.99999999994,1818.3150183150185,0.4673650282030621
,Indonesia,-0.7893,113.9213,1511712,40858,1348330.0,122524.0,273523621.0,552.6806037713284,2.7027634893418853
,Iran,32.427908,53.68804599999999,1885564,62665,1617333.0,205566.0,83992953.0,2244.9073793131192,3.323408805004763
,Iraq,33.223191,43.679291,850924,14323,759560.0,77041.0,40222503.0,2115.542138190654,1.68322905453366
,Ireland,53.1424,-7.6921,235854,4687,23364.0,207803.0,4937796.0,4776.503525054498,1.9872463473165605
,Israel,31.046051,34.851612,833105,6209,819665.0,7231.0,8655541.0,9625.106044786802,0.7452842078729571
,Jamaica,18.1096,-77.2975,39237,596,17598.0,21043.0,2961161.0,1325.0545985172707,1.5189744373932768
,Jordan,31.24,36.51,611577,6858,513144.0,91575.0,10203140.0,5994.007727033051,1.1213632952187542
,Kazakhstan,48.0196,66.9237,297472,5912,268564.0,22996.0,18776707.0,1584.2607545614894,1.9874139414802068
,Kenya,-0.0236,37.9062,134058,2153,92679.0,39226.0,53771300.0,249.31143565433607,1.6060212743737785
,Kosovo,42.602636,20.902977,89181,1866,74186.0,13129.0,1810366.0,4926.130959154116,2.0923739361523195
,Kuwait,29.31166,47.481766,232103,1313,216580.0,14210.0,4270563.0,5434.950848401019,0.5656971258449913
,Kyrgyzstan,41.20438,74.766098,88538,1500,84897.0,2141.0,6524191.0,1357.0724707477143,1.6941878063656282
,Laos,19.85627,102.495496,49,0,45.0,4.0,7275556.0,0.6734880468241877,0.0
,Latvia,56.8796,24.6032,102363,1899,93631.0,6833.0,1886202.0,5426.937305760464,1.8551625098912692
,Lebanon,33.8547,35.8623,468400,6234,370687.0,91479.0,6825442.0,6862.559230596347,1.3309137489325364
